sk_id,cs_id,hu_id
11933,9930,9225
11934,9942,9226
11935,6639,9227
11936,6902,9228
17716,17503,63893
25049,19822,71197
11937,6169,9187
11938,6249,9185
11939,6207,9184
11940,8214,9115
11941,6133,9114
11942,6187,9113
11944,9919,9112
11945,9918,9111
11946,6621,9110
11947,9795,9109
13192,17504,63892
25048,19821,71198
11948,6840,9107
11949,9917,9106
11950,9915,9105
11951,6827,8967
11952,9913,8941
11954,7047,8937
11953,9912,8936
11955,9911,8935
11956,9910,8934
11957,9909,8919
17717,17505,63891
25047,19820,71199
11958,6182,8916
11959,9908,8915
11960,9896,8914
11961,9895,8913
11962,6903,8831
11963,9894,8830
11964,7060,8829
11965,9793,8828
11966,9784,8827
11967,9770,8810
282440,646536,1536697
17586,9090,41802
69860,77676,175102
25164,19950,42183
3144,2631,5723
4194,2659,1194
5017,2110,2437
4828,1285,3748
10255,2866,6046
168822,514102,1841821
4112,1390,3671
142537,102376,1595512
14026,2764,4041
10391,1315,4276
65371,38204,75463
3380,2810,5973
3187,2390,5227
3212,2711,5023
5634,2738,4599
3843,2838,3598
17718,17506,63890
25046,19819,71200
11968,8937,8809
11770,6097,8244
11771,8225,4200
11772,6130,8245
11774,8227,4259
11776,8228,4299
11775,8229,8246
11777,8230,8247
11778,8231,8248
11779,8232,8249
17719,17525,63889
25045,19818,71201
11780,8226,8741
11781,8224,8896
11782,8223,8897
11783,6554,4939
11784,6494,8745
4422,1431,8739
11785,2423,8898
11786,2424,8899
11787,2425,8901
11788,2426,8902
17720,17526,63888
25044,19817,71202
11789,2427,8903
11790,2428,4227
11791,2429,8904
11792,2430,8905
11793,2431,8906
11794,2432,8907
11795,2437,8908
11796,2438,8909
11797,2439,8735
11798,2440,8737
17721,17527,63887
25043,19816,71203
11799,2441,8851
11800,2442,7086
11801,2443,4486
11803,2444,8736
11802,2445,8910
11804,2446,8911
11805,2449,8912
11806,2450,8127
11807,2451,7062
11809,2452,8126
17722,17528,63886
25042,19815,71231
11810,2453,8849
11811,2454,8125
11812,2455,8124
11813,2456,8004
11814,2457,8123
11815,2458,8122
11816,2459,8121
11817,2460,8120
11818,2461,8119
11819,2462,7087
17723,17532,63885
25041,19814,71237
11820,2463,8836
11821,2464,8744
8468,2465,8835
11822,2466,4096
11823,2467,8834
11824,2468,8833
11825,2469,8738
11826,2470,8832
11827,2471,8733
11828,2472,8732
17724,17538,63884
25040,19813,71268
11829,2473,8731
11830,2474,8730
11831,2475,8729
11832,2476,8728
11833,2477,8727
10311,2478,8726
11834,2479,8725
11835,2480,8724
11836,2481,8723
11837,2482,8722
17725,17539,63883
25039,19812,71269
11838,2483,8721
11839,2484,8719
11840,2487,8718
11841,2488,8717
11842,2489,8716
11843,2490,8715
11844,2491,8714
11845,2492,8713
11846,2493,8712
11847,2494,8711
17726,17540,63882
25038,19811,71825
11848,2495,8703
11849,2496,4352
11850,2497,8704
11851,2498,8705
11852,2499,7088
6926,2500,8706
11853,2501,8707
11854,2502,8708
11855,2503,8709
11856,2504,8710
17727,17541,63881
25037,19810,71826
11857,2505,8683
11858,2506,4062
11859,2507,8684
11860,2508,8685
11861,2509,4319
11862,2510,8662
11863,2511,8663
11864,2512,8678
11865,2513,8679
11866,2514,8680
17596,9092,43657
25163,19949,42191
3565,2632,1812
8467,2024,3699
10381,2683,2438
3200,1286,1414
10085,1437,3635
168825,515178,1841832
8836,1439,1193
5100,2765,1205
10390,1314,4273
65372,38205,75464
8883,2811,3515
9007,1432,5274
7541,2712,3793
3215,2739,1928
3190,2839,4003
17728,17542,63880
25036,19809,71942
11867,2515,8653
9643,2516,8654
11684,2517,7063
11685,2518,8655
11686,2519,8656
11687,2520,8657
11688,2521,8658
11689,2522,8659
11690,2523,8660
11692,2524,8661
17729,17548,63879
25035,19808,71943
11691,2525,8644
11693,2526,8645
11694,2527,4272
11695,2528,8646
11696,2529,8647
11697,2530,8648
11698,2531,8649
11699,2532,8650
11700,2533,8651
6858,2534,8652
17730,17566,63878
25034,19807,71944
6932,2535,4347
6859,2536,8353
5221,2537,8354
11701,2538,8355
11702,2539,4343
11703,2540,8356
11704,2541,3504
11705,2542,8357
11706,2543,8358
11707,2544,8359
17731,17567,63877
25033,19806,72791
10433,2545,8587
11708,2546,8586
11709,2547,8585
11710,2548,8584
11711,2549,8583
11712,2550,8582
11713,2551,8581
11714,2552,8580
11715,2553,8579
11717,2554,8578
17732,17568,63164
25032,19784,72792
11718,2555,3505
11719,2556,3520
6680,2557,8250
11720,2558,8576
11721,2559,8577
11722,2560,8481
11723,2561,4365
6929,2562,8090
3201,2563,8574
11724,2564,8575
17734,17569,63163
25031,19783,72794
11725,2565,8480
11726,2566,3519
11727,2567,7908
11728,2568,8479
11729,2569,8478
11730,2570,8477
11731,2571,3509
11732,2572,7090
11733,2573,4358
11734,2574,3507
17735,17571,63162
25030,19782,72795
11735,2575,8476
11736,2576,8473
11737,2577,8472
11738,2578,8471
10830,2579,8470
11739,2580,8469
11740,2581,4346
11741,2582,8468
11742,2583,4341
11743,2584,8467
17736,17570,63161
25029,19781,72796
